,model_id,gene_symbol,rsem_tpm,z_score,gene_expression_level
3027806,SIDM00524,E2F1,5.4515,0.15279258280072106,normal
3319143,SIDM00892,AXIN1,4.3639,-0.04100965578682781,normal
3319206,SIDM01056,AXIN1,4.6531,0.6059609345590691,normal
3319208,SIDM00716,AXIN1,4.5874,0.4589831759638901,normal
3319212,SIDM00284,AXIN1,3.717,-1.4881924873731367,low
3319224,SIDM00870,AXIN1,4.111,-0.6067733566805951,normal
3319241,SIDM00890,AXIN1,4.2898,-0.20677909128002028,normal
3319349,SIDM01001,AXIN1,4.8555,1.0587508636254916,high
3319506,SIDM00568,AXIN1,5.1562,1.731448154486526,high
3319697,SIDM01066,AXIN1,4.757,0.838396080952355,normal
3319727,SIDM00506,AXIN1,4.3219,-0.13496804027689538,normal
3319765,SIDM00910,AXIN1,3.8359,-1.2222007750905395,low
3319793,SIDM00920,AXIN1,4.9891,1.3576280104796115,high
3319853,SIDM00337,AXIN1,4.8895,1.1348124129745938,high
3319891,SIDM01059,AXIN1,3.7908,-1.3230941831977319,low
3319973,SIDM00881,AXIN1,5.1811,1.7871520538627799,high
3320109,SIDM00795,AXIN1,3.7814,-1.3441229644883659,low
3320135,SIDM00524,AXIN1,4.5248,0.31894044098583696,normal
3362451,SIDM00892,EEF2K,3.8186,0.6001497449036182,normal
3362514,SIDM01056,EEF2K,4.0027,0.8793758567394236,normal
3362516,SIDM00716,EEF2K,3.5261,0.15651238633776723,normal
3362520,SIDM00284,EEF2K,2.6622,-1.1537724480726212,low
3362532,SIDM00870,EEF2K,3.2928,-0.19733580427219155,normal
3362549,SIDM00890,EEF2K,3.4356,0.019250229243033837,normal
3362657,SIDM01001,EEF2K,2.269,-1.7501423946985786,low
3362814,SIDM00568,EEF2K,4.0514,0.9532395810544904,normal
3363005,SIDM01066,EEF2K,3.6147,0.2908927964879703,normal
3363035,SIDM00506,EEF2K,3.2494,-0.2631609713209368,normal
3363073,SIDM00910,EEF2K,3.7634,0.5164274126204215,normal
3363101,SIDM00920,EEF2K,3.6415,0.3315405954950297,normal
3363161,SIDM00337,EEF2K,3.0824,-0.51645136065597,normal
3363199,SIDM01059,EEF2K,3.7137,0.441046979387181,normal
3363281,SIDM00881,EEF2K,3.9533,0.8044504361816357,normal
3363417,SIDM00795,EEF2K,3.266,-0.23798360327925094,normal
3363443,SIDM00524,EEF2K,2.4931,-1.410247926135819,low
3978387,SIDM00892,EZH2,5.4845,-0.16870770329964566,normal
3978450,SIDM01056,EZH2,5.1934,-0.4322968095651866,normal
3978452,SIDM00716,EZH2,5.5656,-0.0952721948209943,normal
3978456,SIDM00284,EZH2,5.2884,-0.3462749438996884,normal
3978468,SIDM00870,EZH2,6.3199,0.5877414185630572,normal
3978485,SIDM00890,EZH2,6.9956,1.1995832567754445,high
3978593,SIDM01001,EZH2,6.4681,0.7219355290012337,normal
3978750,SIDM00568,EZH2,5.6056,-0.059052461909205774,normal
3978941,SIDM01066,EZH2,5.9134,0.21965838284700706,normal
3978971,SIDM00506,EZH2,7.0147,1.2168781792408243,high
3979009,SIDM00910,EZH2,5.8522,0.1642421914919703,normal
